,,,,,,,,
SN,Location,ISP,ILL Bandwidth,CE IP, Netmask, Default Gateway ,Logical Circuit ID,Address
1,Akola,Jio, 10 Mb,136.232.61.194,255.255.255.252,136.232.61.193,ILL_9335060166_300860271487,"Dist. collector office, Hospital Main Rd, Near Government Medical College, Akola, Maharashtra 444001"
2,AMRAVATI,Jio,200Mb,136.232.234.14,255.255.255.252,136.232.234.13,ILL_9335342572_300849691484 ,Shyam chowk Near head post office Amrawati 444601
3,ANJANGAON-SURJI,Airtel,2Mb,136.232.61.62,255.255.255.252,136.232.61.61,13573903,"Anjangaon Tehsil office, Akot road, Near Bharat petroleum, anjangaon surji 444705"
4,ARNI,0,0,0,,0,,
5,Barshitakli,Jio, 10 Mb,136.232.61.98,255.255.255.252,136.232.61.97,ILL_9335060166_300860364622,
6,BHADRAWATI,Jio,10Mb,172.31.174.129,255.255.255.252,136.232.61.13,ILL_9335060166_300859646036,
7,BHATKULI,Jio,10Mb,136.232.61.110,255.255.255.252,136.232.61.109,ILL_9335060166_300860348653,"Government hospital, Ganoja Devi Road, Bhatkuli 444602"
8,Bhokar,,,,,,,
9,Biloli,Jio,200Mb,136.232.235.210,255.255.255.252,136.232.235.209,ILL_9335342572_300857573045,"Tahshil office Biloli, Opp Police station, Near old bus stand Biloli. Pin 431710"
10,BRAMHAPURI,Jio,10Mb,136.232.61.26,255.255.255.252,136.232.61.25,ILL_9335060166_300859501002,
11,CHANDRAPUR,Jio,10Mb,182.73.245.158,255.255.255.252,182.73.245.157,ILL_9335060166_300859533004,"NEAR OFFICE OF DISTRICT COLLECTOR, CHAUHAN COLONY, CHANDRAPUR TAHSIL OFFICE, CHANDRAPUR,MAHARASHTRA (MH), India (IN), Pin Code 442402"
12,CHANDUR BAZAR,Airtel,200Mb,182.74.42.154,255.255.255.252,182.74.42.153,,
13,DARWHA,Jio,10Mb,136.232.61.190,255.255.255.252,136.232.61.189,ILL_9335060166_300860277011,
14,Deglur,,,,,,,
15,DHAMANGAON RLY,Jio,10Mb,136.232.61.10,255.255.255.252,136.232.61.9,ILL_9335060166_300859943994,
16,DIGRAS,Airtel,2Mb,115.242.240.174,255.255.255.252,115.242.240.173,13573882,"Tehsil Office,Gurudev Nagar, Digras, Maharashtra 445203"
17,GHATANJI,0,0,0,,0,,
18,GONDPIPRI,Jio,10Mb,136.232.61.94,255.255.255.252,136.232.61.93,ILL_9335060166_300860363845,"CHANDRAPUR-KOTHARI-GONDPIPRI-AHERI ROAD,GONDPIPRI TAHSIL OFFICE,CHANDRAPUR,MAHARASHTRA (MH), India (IN), Pin Code:- 442702"
19,Hadgaon,Jio,10Mb,115.242.195.130,255.255.255.252,115.242.195.129,,"Tahsil office Hadgaon Ambedkar chowk, Tamsa road-431712"
20,Himayat Nagar,Airtel,2Mb,182.74.217.162,255.255.255.253,182.74.217.161,13573829,"Panchayat Samiti Office, First Floor,Tahsil Office Building,Himayatnagar,Maharashtra 431802"
21,HINGANGHAT,Jio,10Mb,136.232.60.254,255.255.255.252,136.232.60.253,ILL_9335060166_300859541926,"Tahsil Office,Railway Station Road Civil Line Hinganghat Dist-Wardha 442301"
22,JIWATI,,,,,,,
23,KARANJA,Jio,10Mb,136.232.61.50,255.255.255.252,136.232.61.49,ILL_9335060166_300859808490,"At Post MSVAN Room Karanja ,Tahsil Karanja Dist-Wardha-442203"
